City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
port alfred,70,ZA,1569376782,75,-33.59,26.89,54.0,3.0
tromso,75,NO,1569376686,80,69.65,18.96,42.8,21.92
cherskiy,39,RU,1569376784,59,68.75,161.3,34.73,10.54
apodi,42,BR,1569376784,57,-5.66,-37.8,77.39,11.25
novyy urengoy,100,RU,1569376784,81,66.08,76.63,37.43,19.13
pevek,100,RU,1569376785,79,69.7,170.27,35.27,13.29
ushuaia,75,AR,1569376750,65,-54.81,-68.31,44.6,6.93
saint anthony,1,US,1569376785,45,43.97,-111.68,66.2,16.11
pacific grove,1,US,1569376786,28,36.62,-121.92,84.2,11.41
provideniya,75,RU,1569376786,80,64.42,-173.23,39.2,8.95
tiksi,35,RU,1569376786,82,71.64,128.87,36.17,14.63
kapaa,90,US,1569376787,74,22.08,-159.32,86.0,8.05
ponta do sol,15,BR,1569376787,74,-20.63,-46.0,66.05,4.0
wuwei,0,CN,1569376787,43,37.93,102.64,66.0,4.34
warrnambool,46,AU,1569376787,78,-38.38,142.48,57.0,1.01
santa rosa,0,AR,1569376788,39,-36.62,-64.29,58.67,5.12
saldanha,59,PT,1569376788,89,41.42,-6.55,52.91,4.05
krasnoarmeysk,0,RU,1569376788,94,56.12,38.15,41.0,2.24
celestun,100,MX,1569376789,80,20.87,-90.4,83.15,7.11
esperance,0,AU,1569376749,37,-33.86,121.89,68.0,12.75
